"","Country","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Total","Continent","Population","gdp"
"36","Cyprus",0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,"Europe",1221549,29260
"37","Czechia",10,2,13,11,1,84,7,23,67,9,12,0,0,0,6,5,4,6,0,0,25,4,23,0,0,7,5,0,324,"Europe",10674723,350900
"38","Czechoslovakia",1,0,12,56,3,232,26,4,121,50,31,0,0,7,9,1,31,1,0,0,32,23,59,1,0,5,20,2,727,"Europe",NA,NA
"39","Dem. Rep. Congo",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Asia",83301151,66010
"40","Denmark",22,14,12,35,16,290,77,105,362,211,15,0,0,4,23,11,19,10,1,0,67,8,228,4,0,48,14,2,1598,"Europe",5605948,264800
"41","Dominican Rep.",1,0,0,0,0,9,1,5,8,1,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,1,1,0,34,"North America",10734247,161900
"42","East Germany",0,0,14,3,9,37,5,4,79,39,24,0,0,8,0,1,3,0,0,0,24,3,2,0,0,2,14,12,283,"Europe",NA,NA
"43","Ecuador",1,0,2,0,0,1,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13,"South America",16290913,182400
"44","Egypt",23,0,11,0,3,103,20,2,115,10,6,0,0,10,1,7,28,12,0,0,102,0,3,0,0,15,4,0,475,"Africa",97041072,1105000
"45","El Salvador",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"North America",6172011,54790
"46","Estonia",7,0,2,14,1,12,4,3,24,6,2,0,0,0,2,1,0,0,0,0,3,0,25,0,0,6,1,0,113,"Europe",1251581,38700
"47","Ethiopia",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,"Africa",105350020,174700
"48","Faroe Islands",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Europe",NA,NA
"49","Federal Republic of Yugoslavia",5,0,1,0,0,32,2,6,37,0,1,0,0,0,2,0,0,2,0,0,9,0,14,0,0,7,4,0,122,"Europe",NA,NA
"50","Fiji",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Oceania",920938,8374
"51","Finland",16,1,17,15,11,272,29,68,266,28,16,0,0,8,9,17,16,6,0,0,42,7,106,1,0,35,14,3,1003,"Europe",5491218,224137
"52","France",191,90,221,191,77,1720,399,459,2509,71,248,3,0,80,156,59,87,140,2,0,499,83,1310,14,0,361,123,34,9127,"Europe",67106161,2699000
"53","Gabon",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Africa",1772255,35980
"54","Georgia",1,0,1,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,16,"Europe",4926330,37270
"55","Germany",124,7,99,135,40,675,183,307,1014,117,97,1,0,28,109,35,39,79,1,0,261,62,726,24,0,219,55,9,4446,"Europe",80594017,3979000
"56","Ghana",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,"Africa",27499924,120800
"57","Greece",21,1,33,1,7,422,49,12,303,6,12,0,0,10,9,3,36,10,0,0,116,8,22,0,0,32,25,1,1139,"Europe",10768477,290500
"58","Guadeloupe",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"North America",NA,NA
"59","Guatemala",2,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,1,1,0,13,"North America",15460732,131800
"60","Guinea",0,0,0,0,1,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,"Africa",12413867,16080
