"","Year","Group","Age"
"305","1964","Directors","42.8"
"306","1965","Directors","42.5"
"307","1966","Directors","42.9"
"308","1967","Directors","42.8"
"309","1968","Directors","42.5"
"310","1969","Directors","42.5"
"311","1970","Directors","42.3"
"312","1971","Directors","41.9"
"313","1972","Directors","42.9"
"314","1973","Directors","43.4"
"315","1974","Directors","43.7"
"316","1975","Directors","43.5"
"317","1976","Directors","43.6"
"318","1977","Directors","44.1"
"319","1978","Directors","43.9"
"320","1979","Directors","44.3"
"321","1980","Directors","44.1"
"322","1981","Directors","44.4"
"323","1982","Directors","44.8"
"324","1983","Directors","44.7"
"325","1984","Directors","45"
"326","1985","Directors","45.3"
"327","1986","Directors","45.5"
"328","1987","Directors","45.5"
"329","1988","Directors","45.4"
"330","1989","Directors","45"
"331","1990","Directors","45.4"
"332","1991","Directors","45.3"
"333","1992","Directors","44.4"
"334","1993","Directors","45"
"335","1994","Directors","45.2"
"336","1995","Directors","44.4"
"337","1996","Directors","44.8"
"338","1997","Directors","43.9"
"339","1998","Directors","43.5"
"340","1999","Directors","43.4"
"341","2000","Directors","43.7"
"342","2001","Directors","43.8"
"343","2002","Directors","44.1"
"344","2003","Directors","44.1"
"345","2004","Directors","43.8"
"346","2005","Directors","43.9"
"347","2006","Directors","44.5"
"348","2007","Directors","44.5"
"349","2008","Directors","44"
"350","2009","Directors","44.3"
"351","2010","Directors","45.2"
"352","2011","Directors","45.1"
"353","2012","Directors","46"
"354","2013","Directors","45.9"
"355","2014","Directors","46.6"
"356","2015","Directors","47.9"
"357","2016","Directors","48.4"
"358","2017","Directors","48.9"
"359","2018","Directors","49.3"
"360","2019","Directors","48.2"
"361","1930","Composers","37.5"
"362","1931","Composers","37.6"
"363","1932","Composers","38.3"
"364","1933","Composers","38.4"
"365","1934","Composers","39.4"
"366","1935","Composers","39.7"
"367","1936","Composers","39.4"
"368","1937","Composers","40.3"
"369","1938","Composers","40.8"
"370","1939","Composers","40.1"
"371","1940","Composers","41"
"372","1941","Composers","41.2"
"373","1942","Composers","41.7"
"374","1943","Composers","43.1"
"375","1944","Composers","42.8"
"376","1945","Composers","42.9"
"377","1946","Composers","43.9"
"378","1947","Composers","43.2"
"379","1948","Composers","43.9"
"380","1949","Composers","43.6"
"381","1950","Composers","44.4"
"382","1951","Composers","44.2"
"383","1952","Composers","43.9"
"384","1953","Composers","43.6"
"385","1954","Composers","44"
"386","1955","Composers","43.9"
"387","1956","Composers","43.6"
"388","1957","Composers","43.1"
"389","1958","Composers","43.6"
"390","1959","Composers","43.4"
"391","1960","Composers","42.9"
"392","1961","Composers","42.8"
"393","1962","Composers","42.1"
"394","1963","Composers","42.1"
"395","1964","Composers","41.6"
"396","1965","Composers","42.6"
"397","1966","Composers","41.9"
"398","1967","Composers","42"
"399","1968","Composers","41.9"
"400","1969","Composers","42.6"
"401","1970","Composers","41.5"
"402","1971","Composers","42.1"
"403","1972","Composers","42.3"
"404","1973","Composers","43.1"
"405","1974","Composers","42.1"
"406","1975","Composers","43.5"
"407","1976","Composers","42.8"
"408","1977","Composers","43.6"
"409","1978","Composers","43.7"
"410","1979","Composers","44.4"
"411","1980","Composers","44"
"412","1981","Composers","44.7"
"413","1982","Composers","44.5"
"414","1983","Composers","43.9"
"415","1984","Composers","43.7"
"416","1985","Composers","43.9"
"417","1986","Composers","43.6"
"418","1987","Composers","44.3"
"419","1988","Composers","44.4"
"420","1989","Composers","44.6"
"421","1990","Composers","46.1"
"422","1991","Composers","45.8"
"423","1992","Composers","45.1"
"424","1993","Composers","45.9"
"425","1994","Composers","44.9"
"426","1995","Composers","44.3"
"427","1996","Composers","44.5"
"428","1997","Composers","45.2"
"429","1998","Composers","44.3"
"430","1999","Composers","44.8"
"431","2000","Composers","44.3"
"432","2001","Composers","44.3"
"433","2002","Composers","44.4"
"434","2003","Composers","43.9"
"435","2004","Composers","44.8"
"436","2005","Composers","44.1"
"437","2006","Composers","44.3"
"438","2007","Composers","43.8"
"439","2008","Composers","44.8"
"440","2009","Composers","45.3"
"441","2010","Composers","46.8"
"442","2011","Composers","45.7"
"443","2012","Composers","46.2"
"444","2013","Composers","48"
"445","2014","Composers","47.4"
"446","2015","Composers","48.7"
"447","2016","Composers","48.9"
"448","2017","Composers","50.3"
"449","2018","Composers","49.7"
"450","2019","Composers","50.7"
"451","0","No Input","0"
